Count,Volume (micron^3),Surface (micron^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (micron),SD dist. to surf. (micron),Median dist. to surf. (micron),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
45,40.512,138.605,502,502,2701512,5381.498,689.53,5167,4500,7255,486.922,770.074,3.926,3.267,1.614,3.07,486.847,769.906,3.932,466,756,3,41,29,4
46,20.821,61.477,258,237,1670051,6473.066,1190.753,6495,4508,8590,493.105,436.795,6.221,1.457,0.542,1.42,493.103,436.758,6.272,487,430,4,14,15,4
47,16.221,72.414,201,201,1022153,5085.338,531.548,4909,4500,6588,662.602,565.194,5.627,2.319,0.979,2.289,662.645,565.141,5.624,648,559,4,28,15,4
48,24.13,87.658,299,299,1646804,5507.706,754.53,5370,4500,8326,447.003,790.037,4.211,2.1,0.66,2.166,447.203,790.071,4.192,438,779,4,20,22,2
49,45.758,142.538,567,544,3415685,6024.136,1699.655,5407,4502,14017,510.57,822.818,4.845,3.289,1.46,3.261,510.825,822.576,4.825,494,811,4,41,25,4
50,189.407,331.669,2347,1334,18935876,8068.119,3095.118,7301,4500,19827,735.974,725.346,8.377,3.224,0.77,3.362,735.679,725.038,8.434,723,713,5,29,30,8
51,39.705,141.161,492,481,2795973,5682.872,1069.096,5419.5,4501,10567,459.833,830.15,6.356,2.822,0.96,2.767,459.528,830.242,6.357,446,815,5,31,24,5
52,17.351,54.802,215,215,1244669,5789.158,931.961,5623,4501,8451,493.846,364.442,6.544,1.402,0.521,1.373,493.739,364.452,6.563,487,355,6,15,18,2
53,18.561,68.024,230,221,1516086,6591.678,1786.247,6035,4500,11248,698.978,753.957,6.822,1.781,0.733,1.739,699.177,753.94,6.849,689,744,6,20,19,3
54,20.175,67.636,250,243,1522792,6091.168,1133.709,5954,4500,8856,748.956,628.972,8.58,1.742,0.719,1.748,749,628.938,8.562,742,618,7,13,22,4
55,24.049,91.822,298,290,1664799,5586.574,1132.902,5221.5,4500,10708,320.399,44.668,9.289,2.22,0.815,2.372,319.87,44.727,9.275,310,34,8,23,19,3
56,19.046,60.102,236,204,1779099,7538.555,2411.184,7044,4504,13598,408.572,57.157,9.86,1.538,0.592,1.468,408.81,57.085,9.833,397,51,8,18,13,4
57,22.758,77.76,282,265,1380398,4895.028,294.759,4835,4502,5603,616.947,811.585,9.22,1.876,0.743,1.855,616.942,811.701,9.191,611,802,8,14,20,5
58,26.228,73.693,325,287,1982686,6100.572,1313.511,5733,4502,10026,227.763,186.88,10.132,1.588,0.442,1.587,227.501,186.944,10.132,221,179,9,17,17,3
59,19.207,66.584,238,223,1439328,6047.597,1298.905,5572,4501,9743,353.214,254.857,10.244,1.633,0.636,1.609,353.309,254.943,10.276,346,249,9,18,14,3
60,19.691,83.028,244,240,1388107,5688.963,1169.627,5326,4520,9083,358.242,285.131,10.324,2.261,0.538,2.233,358.436,284.956,10.378,347,276,9,22,20,3
61,18.239,57.997,226,204,1344177,5947.686,1522.4,5531,4501,10517,435.695,386.226,9.907,1.567,0.531,1.478,435.344,386.403,9.968,428,381,9,19,12,3
62,18.4,53.09,228,163,1633814,7165.851,2561.127,6327.5,4508,14749,466.557,733.412,10.364,1.556,0.291,1.597,466.509,733.325,10.378,462,729,9,11,11,4
63,25.663,82.661,318,306,1807767,5684.802,851.244,5477,4512,7956,380.503,828.94,10.079,1.847,0.793,1.67,380.53,828.923,10.067,369,822,9,27,13,4
64,25.582,81.615,317,317,1723730,5437.634,1098.003,5070,4515,10192,408.883,532.022,10.659,2.08,0.89,2.049,408.516,532.551,10.664,402,518,10,18,27,2
65,18.077,62.374,224,197,1313835,5865.335,1430.612,5393,4527,10419,417.482,741.594,10.871,1.575,0.574,1.613,417.41,741.55,10.892,413,732,10,12,18,3
66,19.288,76.411,239,239,1422721,5952.808,1194.022,5749,4508,10031,456.272,658.774,11.95,2.651,1.055,2.465,456.557,658.843,11.96,444,645,11,24,32,2
1,22.274,74.139,276,276,1711910,6202.572,1328.873,5994,4520,9988,345.522,10.101,1.185,1.778,0.753,1.729,345.396,10.181,1.191,332,2,1,26,16,2
2,17.593,59.579,218,218,1514802,6948.633,2328.759,6217,4502,14540,357.972,383.739,1.243,1.581,0.584,1.595,357.474,383.712,1.178,349,377,1,20,13,2
3,31.07,92.003,385,363,2779126,7218.509,1974.067,6810,4512,11945,115.639,434.447,2.4,2.209,0.766,2.245,115.554,434.333,2.436,104,426,1,22,21,3
4,37.123,103.606,460,444,2499123,5432.876,761.156,5341,4508,8518,331.126,467.946,1.533,2.026,0.79,2.042,331.096,467.817,1.542,323,455,1,18,25,3
5,82.558,193.163,1023,979,6153664,6015.312,1287.429,5660,4503,10806,328.666,698.533,1.944,2.68,0.944,2.687,328.513,697.968,1.956,315,684,1,30,33,4
6,65.611,154.998,813,691,4965256,6107.326,1374.584,5712,4502,11569,759.053,690.285,3.394,2.419,0.926,2.378,759.008,690.612,3.383,745,674,1,25,29,6
7,28.972,94.069,359,359,1977562,5508.529,884.539,5271,4502,8032,281.886,727.624,1.604,1.974,0.833,1.983,281.523,727.672,1.562,270,716,1,24,22,3
8,31.716,114.71,393,387,2075049,5280.023,628.735,5113,4519,7337,136.99,743.705,1.252,2.903,0.915,2.887,137.12,743.977,1.239,121,733,1,30,22,3
9,74.972,187.802,929,794,6640257,7147.747,2535.391,6207,4500,14450,260.354,751.024,1.694,3.444,1.37,3.491,258.49,751.324,1.629,244,735,1,39,26,3
10,30.505,113.147,378,361,2006933,5309.347,1115.419,5004.5,4502,11042,331.368,767.624,2.325,2.138,0.825,2.139,331.382,767.083,2.355,321,754,1,23,24,4
11,43.821,117.208,543,415,3357065,6182.44,1367.172,5734,4501,9417,568.567,213.131,5.517,2.174,0.821,1.984,568.933,213.021,5.505,556,205,2,21,18,6
12,21.144,82.609,262,254,1437500,5486.641,923.602,5235,4505,8405,613.519,303.576,2.977,2.44,0.831,2.467,613.659,303.536,2.982,604,290,2,18,25,5
13,28.488,92.965,353,346,1847152,5232.725,548.539,5097,4501,6925,668.901,508.983,3.156,2.246,0.972,2.304,668.54,508.828,3.177,657,500,2,26,21,4
14,18.561,59.999,230,230,1580312,6870.922,2859.027,5373,4510,14040,712.526,572.265,3.448,1.514,0.565,1.5,713.378,571.928,3.462,704,564,3,16,17,2
15,90.467,220.419,1121,896,6881061,6138.324,1415.768,5779,4500,10911,730.131,626.585,5.501,2.924,1.217,2.621,730.195,626.617,5.527,717,609,3,25,41,5
16,18.804,67.25,233,233,1270471,5452.665,843.975,5230,4506,8783,520.661,460.451,4.107,1.773,0.768,1.722,520.905,460.672,4.106,511,453,4,22,17,2
17,36.719,105.606,455,421,2812730,6181.824,1298.579,5965,4521,10930,718.068,590.389,5.754,1.973,0.717,1.901,718.313,590.338,5.737,708,580,4,21,22,4
18,18.884,58.714,234,215,1311373,5604.158,952.39,5331,4500,8324,529.436,652.654,5.222,1.471,0.531,1.44,529.622,652.774,5.23,524,642,4,13,18,3
19,16.382,60.741,203,191,1047006,5157.665,560.517,4983,4522,6907,457.251,772.369,6.143,1.74,0.703,1.642,457.129,772.352,6.16,446,767,4,20,13,4
20,16.867,72.33,209,208,1085732,5194.89,483.913,5067,4501,6460,363.263,565.249,6,1.904,0.856,1.799,363.271,565.111,6.007,356,559,5,22,19,3
21,81.509,215.119,1010,924,5998034,5938.647,1491.738,5484.5,4501,14559,728.18,663.474,6.589,2.824,1.11,2.882,728.582,663.468,6.534,716,649,5,28,31,4
22,26.47,93.656,328,328,1845482,5626.47,906.63,5428.5,4510,8976,620.287,681.665,6.137,2.391,1.312,2.087,620.028,681.26,6.131,611,668,5,28,27,3
23,82.8,164.423,1026,662,6154741,5998.773,1011.622,5917,4500,8449,581.135,754.897,7.051,2.59,0.568,2.557,581.152,754.966,7.081,567,744,5,26,20,6
24,39.544,113.535,490,443,3036589,6197.121,1347.607,5908.5,4502,9282,410.847,770.573,7.971,2.21,1.06,1.89,410.802,771.088,8.034,405,752,5,13,32,5
25,74.407,219.541,922,841,5104634,5536.479,936.115,5322.5,4501,11507,493.589,758.51,6.648,3.087,1.291,3.098,493.945,758.445,6.635,471,744,5,40,32,5
26,115.323,323.206,1429,1329,8022302,5613.927,1086.705,5273,4500,10506,637.435,757.111,6.91,4.037,2.038,3.835,637.564,756.757,6.911,611,725,5,45,56,6
27,18.077,52.38,224,224,1464613,6538.451,1339.482,6495,4518,9082,317.201,388.071,7.478,1.332,0.448,1.313,317.272,388.12,7.492,311,381,7,14,16,2
28,170.442,348.661,2112,1375,15983287,7567.844,2666.289,6852,4502,18519,611.333,469.848,9.65,3.335,0.818,3.327,610.624,469.961,9.622,596,457,7,33,31,6
29,33.733,120.113,418,397,2213206,5294.751,602.119,5181,4500,7131,550.813,569.83,8.797,2.206,0.919,2.142,550.76,569.791,8.788,537,560,7,28,22,5
30,25.744,85.068,319,284,1740684,5456.689,774.021,5226,4508,7703,480.351,698.696,9.009,1.784,0.668,1.715,480.295,698.603,8.972,471,693,7,23,13,5
31,83.526,169.886,1035,782,6412134,6195.298,1316.335,5888,4504,11659,674.067,763.775,8.253,2.634,0.924,2.505,674.049,763.856,8.271,660,755,7,34,20,4
32,32.442,85.663,402,386,2112262,5254.383,568.37,5138,4502,7283,707.323,748.468,8.512,1.823,0.7,1.768,707.311,748.607,8.5,698,742,8,23,16,3
33,17.593,57.661,218,201,1532136,7028.147,2224.027,6357.5,4504,13672,288.284,614.908,9.592,1.483,0.573,1.454,288.319,614.996,9.612,281,605,9,15,17,3
34,22.032,75.552,273,262,1517280,5557.802,940.346,5300,4500,9573,669.136,662.297,10.267,1.685,0.681,1.546,669.425,662.041,10.292,657,655,9,20,18,3
35,17.189,65.441,213,213,1173675,5510.211,1243.809,4957,4513,9624,572.54,410.723,10.977,2.481,0.931,2.649,572.332,411.76,11.032,567,400,10,14,26,3
36,19.449,58.456,241,241,1435363,5955.863,1142.237,5734,4507,8944,649.573,440.805,10.577,1.421,0.522,1.385,649.703,440.775,10.549,643,432,10,14,17,2
37,23.081,78.348,286,286,1705316,5962.644,1416.643,5381,4500,11103,449.5,489.783,11.182,2.12,1.016,1.982,450.1,490.338,11.218,433,476,10,25,24,3
38,24.049,84.365,298,298,1612299,5410.399,782.491,5222,4504,8433,664.859,463.688,11.409,2.056,0.9,1.946,664.683,463.848,11.404,655,454,11,25,22,2
39,17.028,56.041,211,211,1379114,6536.085,2131.626,5606,4537,13189,336.346,604.299,11.611,1.589,0.748,1.46,336.986,603.678,11.632,325,598,11,21,15,2
40,16.705,68.45,207,198,1035364,5001.758,419.77,4922,4500,6128,665.614,632.348,11.739,2.161,0.597,2.218,665.625,632.421,11.725,656,626,11,22,13,3
1,18.239,65.06,226,204,1228247,5434.721,982.395,5083.5,4503,8299,483.456,322.235,2.265,1.685,0.521,1.72,483.337,322.623,2.215,479,314,1,11,17,4
2,16.14,50.366,200,200,1196312,5981.56,1573.491,5435.5,4505,11032,154.31,328.015,1.36,1.311,0.447,1.279,154.044,327.974,1.297,147,323,1,16,12,2
3,39.463,118.919,489,427,3578877,7318.767,2406.41,6606,4504,16728,295.129,387.714,2.802,2.577,0.715,2.572,295.656,387.774,2.775,281,380,1,27,16,4
4,16.382,49.591,203,154,1761615,8677.906,3969.585,7479,4543,18767,495.837,394.069,2.493,1.352,0.303,1.363,495.902,394.163,2.469,491,389,1,11,11,4
5,29.295,98.646,363,348,2100443,5786.344,1432.915,5200,4500,11391,149.121,538.545,1.871,2.064,0.873,1.947,149.57,538.633,1.909,137,527,1,24,23,4
6,20.256,61.658,251,202,1356323,5403.677,781.939,5182,4502,8151,517.944,571.984,2.394,1.434,0.391,1.492,518.096,572.091,2.388,512,566,1,13,13,4
