Count,Volume (micron^3),Surface (micron^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (micron),SD dist. to surf. (micron),Median dist. to surf. (micron),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
71,483.808,782.86,5995,3595,63859248,10652.085,4938.358,8953,5563,35069,649.101,789.572,7.923,5.608,1.976,5.536,649.9,789.245,7.748,616,761,2,64,59,10
72,39.463,109.183,489,443,3671496,7508.172,1656.832,7077,5569,11895,539.98,875.266,4.18,2.166,0.783,2.251,539.609,875.284,4.114,529,865,2,25,19,4
73,30.505,88.122,378,325,2666414,7054.005,1185.646,6756,5562,10454,420.22,906.497,3.283,1.797,0.635,1.701,420.211,906.539,3.252,411,896,2,19,21,4
74,38.172,125.22,473,444,3498251,7395.879,1429.31,7032,5563,11351,270.964,16.772,5.108,2.287,0.883,2.223,270.692,16.754,5.133,257,10,3,30,14,6
75,88.933,232.337,1102,829,9179965,8330.276,2622.187,7475,5564,18667,395.2,132.106,5.918,2.84,0.976,2.906,394.828,131.836,5.832,382,121,3,31,27,7
76,112.983,286.499,1400,1201,11762136,8401.525,2441.631,7774,5566,17683,424.644,192.495,6.313,3.292,1.455,3.13,424.39,192.529,6.346,408,176,3,36,38,7
77,35.267,122.69,437,417,3173893,7262.913,1635.956,6782,5561,13129,326.886,237.776,4.606,2.422,0.791,2.396,326.776,238.252,4.637,319,226,3,20,27,4
78,46.081,121.774,571,555,4912515,8603.354,2438.581,8072,5567,15510,573.66,271.203,4.445,2.434,1.193,2.299,573.973,271.455,4.418,557,258,3,30,27,4
79,128.316,208.533,1590,918,23737208,14929.062,8857.937,11514,5577,37892,167.404,385.614,5.46,2.859,0.503,2.82,168.099,385.267,5.403,152,374,3,28,24,6
80,45.919,132.898,569,569,4118362,7237.895,1100.57,7125,5563,10372,626.378,464.889,3.859,2.425,0.961,2.47,626.522,464.817,3.846,612,455,3,28,22,3
81,262.2,618.059,3249,2330,27044108,8323.825,4099.41,7044,5561,36410,640.496,530.594,6.238,5.22,2.101,5.035,639.852,532.115,6.277,625,495,3,30,67,8
82,71.421,170.712,885,742,7992738,9031.343,3557.128,7810,5578,22997,606.604,560.78,4.051,2.953,1.077,3.028,605.113,560.728,3.953,589,548,3,33,25,5
83,46.726,130.141,579,499,4331781,7481.487,1613.228,7069,5561,12621,281.798,605.149,5.238,2.27,0.919,2.209,281.522,605.034,5.266,271,595,3,26,23,5
84,27.6,83.054,342,273,2877713,8414.365,2609.74,7465.5,5567,16378,364.781,639.523,4.257,1.86,0.651,1.783,364.861,639.008,4.151,360,631,3,11,22,4
85,92.484,259.214,1146,949,9152139,7986.16,2278.265,7205,5562,16407,524.338,649.727,5.141,4.306,1.829,4.353,524.747,648.549,5.085,505,628,3,32,46,6
86,241.944,573.371,2998,2274,25612664,8543.25,3194.48,7409,5561,26175,472.458,705.024,8.332,4.498,1.687,4.481,472.18,704.904,8.382,446,691,3,59,31,10
87,53.828,159.924,667,614,4815428,7219.532,1895.933,6548,5562,14228,501.906,733.135,4.373,2.985,1.113,3.094,501.221,733.485,4.442,491,719,3,27,33,4
88,102.007,319.054,1264,1233,9747948,7711.984,2141.79,7057,5561,18421,548.049,737.828,4.967,5.231,2.192,5.154,546.779,737.487,5.036,520,723,3,69,32,5
89,17.754,49.739,220,182,2293422,10424.646,4396.237,9006,5584,22906,357.65,748.395,3.923,1.34,0.243,1.335,357.598,748.462,3.923,353,743,3,11,12,3
90,19.853,63.259,246,218,1906955,7751.85,1922.528,7145,5591,13367,402.963,764.224,4.825,1.599,0.557,1.484,402.909,764.612,4.895,398,754,3,13,18,4
91,208.614,464.801,2585,1932,22708212,8784.608,3439.721,7602,5564,24849,335.367,789.533,7.803,5.547,2.428,5.69,336.139,787.735,7.603,313,759,3,48,64,9
92,1052.514,2075.489,13042,9409,126702584,9714.966,4369.188,8198,5561,36492,536.007,805.715,9.654,10.691,4.38,10.636,537.215,807.55,9.809,487,756,3,92,121,11
93,1041.78,1726.943,12909,7629,139373072,10796.582,6083.162,8441,5561,45153,425.431,806.48,8.237,9.218,4.293,8.064,425.277,804.753,8.525,375,748,3,95,122,11
94,43.579,109.422,540,440,4746664,8790.118,2822.025,7987.5,5563,17957,543.004,815.98,3.961,2.11,0.782,2.052,543,816.09,3.894,530,809,3,27,14,4
95,62.705,176.861,777,762,5361846,6900.703,1006.052,6678,5561,9480,588.055,834.763,4.152,3.022,1.428,2.876,587.752,834.539,4.164,568,821,3,36,35,4
96,493.169,808.077,6111,4005,60328448,9872.107,3933.081,8818,5562,26553,472.49,838.067,6.345,6.257,2.609,6.139,472.824,835.652,6.494,447,800,3,54,73,8
97,19.368,56.609,240,220,1761742,7340.592,1254.005,7145,5581,10392,549.875,886.612,4.375,1.355,0.398,1.39,549.939,886.581,4.397,543,881,3,14,13,3
98,50.439,133.633,625,513,6420962,10273.539,4135.206,9205,5577,23329,392.246,27.142,6.416,2.358,1.043,2.154,393.344,26.953,6.334,376,18,4,30,21,6
99,26.712,94.624,331,301,2514213,7595.81,2038.787,6885,5562,14075,233.063,63.583,6.894,1.979,0.818,1.912,232.931,63.848,6.986,227,54,4,12,18,6
100,571.288,739.34,7079,3447,95593040,13503.749,6698.124,11279,5561,33951,352.902,455.517,8.25,6.227,3.072,5.124,353.403,454.201,8.193,331,419,4,42,92,9
101,20.579,65.603,255,254,1745841,6846.435,892.808,6855,5580,9125,433.439,451.514,5.388,1.576,0.64,1.485,433.518,451.448,5.39,427,442,4,14,20,3
102,76.102,177.807,943,796,8688852,9214.053,3111.023,8367,5572,20267,103.779,557.684,5.924,2.782,1.141,2.622,103.488,557.489,5.931,91,540,4,27,35,5
103,31.716,85.779,393,325,3252790,8276.819,2306.02,7650,5561,14373,548.842,653.733,5.094,1.818,0.481,1.864,548.893,653.928,5.066,541,646,4,17,15,4
104,1327.707,2149.671,16452,9948,171820784,10443.763,4489.451,9121,5561,33913,652.287,690.422,8.482,9.984,4.316,9.668,652.236,689.407,8.517,613,609,4,71,138,9
105,17.997,57.932,223,183,1979952,8878.709,3188.791,7900,5630,18512,675.623,680.444,5.143,1.458,0.445,1.358,675.73,680.133,5.06,669,674,4,12,13,5
106,82.316,213.82,1020,799,8537093,8369.699,3285.577,7128,5561,21417,225.484,680.098,6.337,2.915,1.116,2.892,225.884,681.373,6.386,211,660,4,30,35,5
107,30.586,88.29,379,316,3012672,7949.002,2041.352,7366,5564,14626,559.879,688.142,5.193,2.003,0.946,1.742,559.734,688.193,5.235,549,677,4,27,22,3
108,25.421,90.156,315,286,2615479,8303.108,2710.393,7287,5568,16971,351.686,716.521,6.527,2.101,0.91,1.957,351.911,716.258,6.548,339,711,4,24,14,5
109,53.667,138.43,665,533,6248372,9396.048,3876.823,7981,5561,22568,313.158,731.006,5.442,2.604,1.181,2.421,312.454,730.254,5.504,301,720,4,27,30,4
110,24.856,69.689,308,223,2608943,8470.594,2186.804,8007,5576,13372,184.175,762.841,5.581,1.721,0.476,1.681,184.097,762.73,5.51,180,755,4,10,17,5
111,29.375,85.385,364,306,2701628,7422.055,1500.097,7206,5572,12242,651.775,759.725,5.651,1.713,0.579,1.742,651.926,759.703,5.621,644,754,4,18,12,5
112,198.527,387.299,2460,1672,25047104,10181.75,4896.352,8549,5564,32460,379.399,782.7,6.374,4.072,1.726,3.63,380.061,781.158,6.407,362,759,4,32,54,7
113,106.849,189.487,1324,911,16311470,12319.842,6755.028,10201.5,5571,35164,296.297,851.41,5.596,2.758,0.778,2.659,296.993,850.994,5.473,286,839,4,22,30,5
114,17.27,60.244,214,214,1489690,6961.168,1055.626,6740,5569,9752,258.893,110.818,5.715,1.816,0.962,1.527,258.989,110.621,5.708,253,95,5,12,28,2
115,51.73,117.815,641,392,8037935,12539.681,6720.706,10083,5594,34274,508.207,241.579,7.187,2.32,0.618,2.228,508.189,241.02,7.355,502,233,5,14,25,6
116,51.084,152.461,633,579,4619553,7297.872,1314.107,7018,5564,11080,334.117,252.626,7.526,2.577,1.007,2.516,334.346,252.736,7.483,318,241,5,31,27,5
117,146.958,334.317,1821,1384,17404404,9557.607,3996.559,8325,5564,25301,357.404,311.79,9.017,3.708,1.384,3.693,357.598,313.123,9.135,339,291,5,32,46,7
118,21.628,69.405,268,268,2141698,7991.411,2239.807,7397,5564,14427,421.101,371.444,5.597,1.688,0.731,1.616,421.024,370.928,5.624,415,362,5,13,22,3
119,248.562,465.05,3080,2142,29432408,9555.977,3250.713,8773,5562,21726,333.173,365.24,9.018,4.452,1.85,4.086,332.909,365.824,9.046,309,335,5,49,55,7
120,56.653,161.473,702,661,5695580,8113.362,2359.891,7382,5566,17057,615.299,527.439,7.484,3.626,1.607,3.853,615.245,528.241,7.387,607,505,5,19,47,6
121,20.74,67.953,257,232,2024709,7878.245,2228.653,7258,5571,14712,145.144,548.778,6.008,1.821,0.858,1.677,145.048,549.513,6.066,140,533,5,12,25,3
122,76.021,171.964,942,693,9962721,10576.137,4362.978,9212.5,5563,24272,163.172,560.085,7.6,2.91,1.257,2.946,163.293,561.003,7.629,155,540,5,19,34,5
